Ticker,Sector,Open,Close,Volume,SharesOutstanding,Name
KO,Manufacturing,54.8,54.62,16033217,4311680667,Coca-Cola Co
CTSH,Information,71.73,71.24,2473591,527411884,Cognizant Technology Solutions Corp. - Class A
CL,Manufacturing,84.29,84.23,3497927,845968780,Colgate-Palmolive Co.
CMCSA,Information,55.33,55.08,16449295,4584844820,Comcast Corp - Class A
CMA,Finance and Insurance,77.15,77.63,1036508,139612779,"Comerica, Inc."
DIS,,172.22,172.4,8105719,1816932058,Walt Disney Co (The)
WM,Administrative and Support and Waste Management and Remediation Services,141.17,140.97,1573506,422127260,"Waste Management, Inc."
WAT,Manufacturing,312.18,312.22,718408,61700498,Waters Corp.
WEC,Utilities,95.5,96.22,2638981,315434531,WEC Energy Group Inc
WFC,Finance and Insurance,45.97,45.88,27312655,4133571501,Wells Fargo & Co.
WELL,Finance and Insurance,73.64,73.28,1219640,417520500,Welltower Inc
WST,Health Care and Social Assistance,334.01,333.45,680074,73823701,"West Pharmaceutical Services, Inc."
WDC,Manufacturing,72.33,72.34,4838116,306452886,Western Digital Corp.
WU,Information,24.53,24.57,5850903,409252217,Western Union Company
WRK,Manufacturing,58.04,57.94,2294883,266116343,WestRock Co
WY,Finance and Insurance,37.24,37.04,4788124,749215000,Weyerhaeuser Co.
WHR,Manufacturing,238.14,236.86,554742,62624750,Whirlpool Corp.
WMB,Transportation and Warehousing,26.49,26.39,5021706,1214762352,Williams Cos Inc
WLTW,Finance and Insurance,263.49,262.81,1282649,128976752,Willis Towers Watson Public Limited Co
WYNN,"Arts, Entertainment, and Recreation",127.74,127.36,1889120,115658123,Wynn Resorts Ltd.
XEL,Utilities,71.77,72.04,2551959,538206800,"Xcel Energy, Inc."
XRX,Manufacturing,23.88,23.74,1331238,191947343,Xerox Holdings Corp
XLNX,Manufacturing,124.95,122.81,1098255,245840000,"Xilinx, Inc."
XYL,Manufacturing,114.44,115.47,696397,180041590,Xylem Inc
YUM,Accommodation and Food Services,120.25,119.71,2185010,297901153,Yum Brands Inc.
ZBRA,Manufacturing,496.64,494.33,238222,53511255,Zebra Technologies Corp. - Class A
ZBH,Manufacturing,168.0,167.32,824417,208482101,Zimmer Biomet Holdings Inc
ZION,Finance and Insurance,57.1,58.1,1776408,163815613,Zions Bancorporation N.A
ZTS,Manufacturing,176.55,176.02,3330084,474766701,Zoetis Inc - Class A
